Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,AAPL,AMZN,GOOGL,AAPL,AMZN,GOOGL,AAPL,AMZN,GOOGL,AAPL,AMZN,GOOGL
Date,,,,,,,,,,,,,,,
2024-01-02,183.56216430664062,149.92999267578125,136.95558166503906,186.3308274284663,152.3800048828125,138.2243301608941,181.83175174149957,148.38999938964844,135.28043314911363,185.05525771688224,151.5399932861328,137.3322465738531,82488700,47339400,23711200
2024-01-03,182.187744140625,148.47000122070312,137.69900512695312,183.79950485996184,151.0500030517578,138.40277146312937,181.37691491631995,148.3300018310547,135.87518085036012,182.15808112880916,149.1999969482422,136.04368487458785,58414500,49425500,24212100
2024-01-04,179.8739471435547,144.57000732421875,135.1912384033203,181.04073256447913,147.3800048828125,137.93689651353586,178.85547678867908,144.0500030517578,135.15159662676552,180.1112512492328,145.58999633789062,137.20339508752366,71983600,56039800,27137700
2024-01-05,179.15211486816406,145.24000549316406,134.53701782226562,180.71443234786256,146.58999633789062,135.9544569222083,178.1534248404595,144.52999877929688,133.9621138280285,179.95306152436652,144.69000244140625,135.54805692417742,62379700,45153100,22513900
2024-01-08,183.48304748535156,149.10000610351562,137.61968994140625,183.52260821958473,149.39999389648438,137.78819394542484,179.46849297664804,146.14999389648438,135.06236452075504,180.05188555859277,146.74000549316406,135.09209963177744,59144500,46757100,21404000
2024-01-09,183.06777954101562,151.3699951171875,139.71115112304688,183.07766218215258,151.7100067138672,140.24641339378692,180.68475037086026,148.2100067138672,136.9357580192586,181.86143345023166,148.3300018310547,137.2826878289855,42841800,43812600,24759600
2024-01-10,184.1060333251953,153.72999572753906,141.0294647216797,184.31367440860302,154.4199981689453,141.74313767378752,181.8614365329183,151.8800048828125,139.67151083001588,182.2866315170422,152.05999755859375,139.7607161678604,46792900,44421800,21320200
2024-01-11,183.5127410888672,155.17999267578125,140.8312225341797,184.9564063690912,157.1699981689453,143.9436236258308,181.5647895230864,153.1199951171875,139.40387666099627,184.4521049955326,155.0399932861328,142.2288332953947,49128400,49072700,24008700
